,ABDOMEN,WRIST
1,85.2,17.1
2,83,18.2
3,87.9,16.6
4,86.4,18.2
5,100,17.7
6,94.4,18.8
7,90.7,17.7
8,88.5,18.8
9,82.5,18.2
10,88.6,19.2
11,83.6,18.5
12,90.9,19
13,91.6,17.7
14,101.8,18.8
15,96.4,18.2
16,92.8,16.9
17,96.4,17.3
18,97.5,19.3
19,89.6,18.5
20,100.5,18.2
21,95.9,18.4
22,98.8,19.9
23,76.4,16.7
24,80,17.1
25,76.3,17.6
26,79.7,17.7
27,74.6,16.5
28,88.7,17
29,73.9,17.2
30,83.5,17.6
31,88.7,18.4
32,84.5,17.9
33,79.1,18.8
34,100.5,18.7
35,115.6,19.7
36,113.1,17
37,100.9,19
38,98.8,19.4
40,108.1,18.3
41,126.2,21.4
42,104.3,17.4
43,111.2,18.4
44,104.3,18.8
45,76,16.1
46,81.5,18.3
47,73.7,17.3
48,79.5,17.9
49,83.4,16.3
50,70.4,16.8
51,86.7,17.3
52,77.9,17.2
53,82,16.9
54,79.6,18.5
55,77.6,18.5
56,100,18.9
57,99.8,18.5
58,104.2,19.2
59,105.3,18.2
60,98.3,18.5
61,104.8,20.2
62,94.7,18.3
63,102.4,19.1
64,99.7,18.8
65,105.5,18.4
66,100.3,18.7
67,83.9,17.4
68,86.6,18.7
69,78.4,18.1
70,84.6,17.3
71,91.5,18.6
72,82.8,18.3
73,82.9,18.2
74,76,16.9
75,83.3,16.8
76,81.8,18.3
77,78.8,18.1
78,95,18.8
79,95.4,18.3
80,98.6,19
81,95.8,19
82,89,17.7
83,97.8,19
84,94.9,19.2
85,99.8,18
87,88.1,18.8
88,90.9,18.1
89,86,18.8
90,86.5,18.7
91,95.6,17.7
92,93.2,18.8
93,83.1,18.4
94,97.5,19.1
95,88.8,17.8
96,99.2,20.4
97,91.6,18.5
98,86.7,18.2
99,88.2,18.2
100,94,18.3
101,95,18.6
102,92,17
103,89.2,18.4
104,95.5,19.7
105,98.6,17.7
106,87.3,18.8
107,102.8,18.1
108,101.6,19.1
109,88.7,19.2
110,92.3,17.3
111,90.6,18.1
112,105,17.4
113,95,19.8
114,89.6,17.4
115,92.4,17.5
116,86.6,17.3
117,90,18.1
118,90,19.5
119,92.4,18.5
120,87.5,18
121,99.2,19.5
122,98.1,18.4
123,83.3,17.6
124,86.1,17.6
125,84.1,18
126,89.9,17.6
127,92.1,17.2
128,78,17.4
129,93.5,18.1
130,87,17.7
131,90.1,17.6
132,90.3,17.1
133,99.8,17.9
134,89.4,17.3
135,87.2,18.1
136,101.1,17.6
137,86.1,17.1
138,98.6,17.7
139,88.5,17.6
140,106.6,18.7
141,93.1,16.6
142,93,17.8
143,91,17.9
144,77.1,18.2
145,85.3,18.3
146,81.9,17.3
147,99.1,18.7
148,100.5,18.4
149,76.5,16.9
150,106.8,18.4
151,77.6,17.8
152,102.9,19.6
153,72.8,17.4
154,88.2,17.9
155,100.1,19.4
156,83.5,17.7
157,105,19.1
158,90.8,18.6
159,76.6,16.9
160,92.4,18.2
161,81.2,16.5
162,95.6,19.1
163,92.1,19.7
164,83.4,16.5
165,106,18.5
166,95.1,19.4
167,90.4,17.7
168,100.4,19.8
169,115.9,18.8
170,90.8,17.4
171,81.9,17.7
173,90.3,17.7
174,90.3,17.8
175,108.8,20.1
176,79.4,16.9
177,83.2,16.7
178,110.3,18.4
179,92.7,18.1
180,104.5,19.9
181,104.6,19
183,83.6,17.2
184,86.8,17.4
185,90.4,17.7
186,83.7,18.2
187,109.3,20
188,98.9,19.1
189,98,18.8
190,101.2,18.5
191,80.6,17.9
192,113.7,19.9
193,94.1,18.7
194,105.7,18.5
195,85.6,17.1
196,96.6,18.8
197,86,17.4
198,89.7,16.9
199,78,18.5
200,89.7,18.8
201,89.2,18.6
202,85.7,17.4
203,103.1,18.7
204,89.1,18.4
205,113.9,17.4
206,96.3,19.4
207,93.9,17.3
208,101.3,18.4
209,83.9,17.7
210,84.4,17.6
211,79.4,17.4
212,104,18.9
213,89.7,18.6
214,97.6,19
215,87.6,18
217,81.1,17.8
218,81.5,18.6
219,100,19.2
220,88.7,17.1
222,110.4,19.6
223,87.6,17.8
224,82.8,17
225,95.3,19.2
226,78.2,15.8
227,91.1,18.8
228,96.7,18.4
229,89.4,18.8
230,93,19
231,86.4,16.9
232,96.7,19
233,88.1,18
234,94.9,17.6
235,93.3,18.3
236,95.6,18.3
237,98.2,19
238,113.8,18.5
239,82.8,18.3
240,100.5,19.1
241,79.7,16.5
242,118,19.4
243,109,19.5
244,113.4,19.5
245,106.1,18.5
246,84.3,18.5
247,107.6,18.8
248,83.6,18.5
249,105,20.1
250,111.5,18
251,101.3,19.8
252,108.5,20.9
